Key,Source,Context,Changes,English,French,German,Klingon,Spanish
ulmPerkMagazine40,items,Item,KgNone,"[FF684F]Staying healthy[-]",,,,
ulmPerkMagazine40Desc,items,Item,,"Type: [decea3]Skill Book[-] [FF684F](Extremely Rare)[-]\nMaterial: [decea3]Paper[-]\nUnlocks: [decea3]5% Increased Wellness Gain[-]\n\nOne of few collectible magazines, that teaches a unique perk.",,,,
ulmPerkMagazine41,items,Item,KgNone,"[FF684F]Not thirsty yet[-]",,,,
ulmPerkMagazine41Desc,items,Item,,"Type: [decea3]Skill Book[-] [FF684F](Extremely Rare)[-]\nMaterial: [decea3]Paper[-]\nUnlocks: [decea3]5% Slower Thirst Degradation[-]\n\nOne of few collectible magazines, that teaches a unique perk.",,,,
ulmPerkMagazine42,items,Item,KgNone,"[FF684F]Art of breathing[-]",,,,
ulmPerkMagazine42Desc,items,Item,,"Type: [decea3]Skill Book[-] [FF684F](Extremely Rare)[-]\nMaterial: [decea3]Paper[-]\nUnlocks: [decea3]5% Slower Stamina Degradation[-]\n\nOne of few collectible magazines, that teaches a unique perk.",,,,
ulmPerkMagazine43,items,Item,KgNone,"[FF684F]Hold it in[-]",,,,
ulmPerkMagazine43Desc,items,Item,,"Type: [decea3]Skill Book[-] [FF684F](Extremely Rare)[-]\nMaterial: [decea3]Paper[-]\nUnlocks: [decea3]25% Increased Breath Hold Duration[-]\n\nOne of few collectible magazines, that teaches a unique perk.",,,,
ulmPerkMagazine44,items,Item,KgNone,"[FF684F]Willpower for life[-]",,,,
ulmPerkMagazine44Desc,items,Item,,"Type: [decea3]Skill Book[-] [FF684F](Extremely Rare)[-]\nMaterial: [decea3]Paper[-]\nUnlocks: [decea3]+10 To Minimum Wellness[-]\n\nOne of few collectible magazines, that teaches a unique perk.",,,,
ulmPerkMagazine45,items,Item,KgNone,"[FF684F]Pumping iron[-]",,,,
ulmPerkMagazine45Desc,items,Item,,"Type: [decea3]Skill Book[-] [FF684F](Extremely Rare)[-]\nMaterial: [decea3]Paper[-]\nUnlocks: [decea3]+10 To Maximum Wellness[-]\n\nOne of few collectible magazines, that teaches a unique perk.",,,,
ulmPerkMagazine46,items,Item,KgNone,"[FF684F]Desert sprinter[-]",,,,
ulmPerkMagazine46Desc,items,Item,,"Type: [decea3]Skill Book[-] [FF684F](Extremely Rare)[-]\nMaterial: [decea3]Paper[-]\nUnlocks: [decea3]5% Faster Stamina Gain[-]\n\nOne of few collectible magazines, that teaches a unique perk.",,,,
ulmPerkMagazine47,items,Item,KgNone,"[FF684F]Badlands survivor[-]",,,,
ulmPerkMagazine47Desc,items,Item,,"Type: [decea3]Skill Book[-] [FF684F](Extremely Rare)[-]\nMaterial: [decea3]Paper[-]\nUnlocks: [decea3]5% Faster Health Gain[-]\n\nOne of few collectible magazines, that teaches a unique perk.",,,,
armyPants,items,Item,KgNone,"Army Pants",,,,
armyPantsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nA suprisingly clean pre-apocalypse military uniform",,,,
armyShirt,items,Item,KgNone,"Army Shirt",,,,
armyShirtDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nA suprisingly clean pre-apocalypse military uniform",,,,
animalHideBoots,items,Item,KgNone,"Animal Hide Boots",,,,
animalHideBootsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
animalHideChestArmor,items,Item,KgNone,"Animal Hide Chest Armor",,,,
animalHideChestArmorDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
animalHideGloves,items,Item,KgNone,"Animal Hide Gloves",,,,
animalHideGlovesDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
animalHideHood,items,Item,KgNone,"Animal Hide Hood",,,,
animalHideHoodDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
animalHideJacket,items,Item,KgNone,"Animal Hide Jacket",,,,
animalHideJacketDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
animalHideLegArmor,items,Item,KgNone,"Animal Hide Pants",,,,
animalHideLegArmorDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
animalHidePants,items,Item,KgNone,"Animal Hide Leg Armor",,,,
animalHidePantsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
animalHidePoncho,items,Item,KgNone,"Leather Poncho",,,,
animalHidePonchoDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\nThis poncho provides a little protection and helps you survive hot weather.",,,,
animalHideClothesGroupDesc,items,Item,KgNone,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\nAnimal hide provides sound protection against cold weather and a fair job against other damage types. Doesnt necessarily have to be made of Animal.",,,,
aviatorGoggles,items,Item,KgNone,"Aviator Goggles",,,,
aviatorGogglesDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nAviator goggles provide a little face protection and make you look really cool.",,,,
ballCap,items,Item,KgNone,"White Baseball Cap",,,,
ballCapDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nA baseball cap provides limited warmth and defense against other damage types.",,,,
ballCapBlack,items,Item,KgNone,"Black Baseball Cap",,,,
ballCapBlackDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
ballCapBlue,items,Item,KgNone,"Blue Baseball Cap",,,,
ballCapBlueDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
ballCapBrown,items,Item,KgNone,"Brown Baseball Cap",,,,
ballCapBrownDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
ballCapGreen,items,Item,KgNone,"Green Baseball Cap",,,,
ballCapGreenDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
ballCapRed,items,Item,KgNone,"Red Baseball Cap",,,,
ballCapRedDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
bandana,items,Item,KgNone,"Bandana",,,,
bandanaDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nThis bandana looks like its seen it all, the embroidery reads 'A.R'.",,,,
bandanaBlack,items,Item,KgNone,"Black Bandana",,,,
bandanaBlackDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nThis black bandana is printed with AC/DC what ever that is.",,,,
bandanaBlue,items,Item,KgNone,"Blue Bandana",,,,
bandanaBlueDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nThis particular one looks like it belonged to a solid operative.",,,,
bandanaBrown,items,Item,KgNone,"Brown Bandana",,,,
bandanaBrownDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nIts brown, your not sure what color it would be if you washed it.",,,,
bandanaGreen,items,Item,KgNone,"Green Bandana",,,,
bandanaGreenDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nIf you didnt smell so much in the apocalypse it might help you hide from the bandits and zombies.",,,,
bandanaRed,items,Item,KgNone,"Red Bandana",,,,
bandanaRedDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nLooking at the name tag it reads "Pvt. Vasquez" putting it on you feel like a badass.",,,,
bandanaClothesGroupDesc,items,Item,KgNone,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nProvides little protection against damage.",,,,
banditArmorGroupDesc,items,Item,KgNone,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nIt may look like junk but it was worn by a survivor so it clearly works.",,,,
blackCowboyHat,items,Item,KgNone,"Black Cowboy Hat",,,,
blackCowboyHatDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
blackDenimPants,items,Item,KgNone,"Black Denim Pants",,,,
blackDenimPantsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
brownDenimPants,items,Item,KgNone,"Brown Denim Pants",,,,
brownDenimPantsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
cigar,items,Item,KgNone,"Cigar",,,,
cigarDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Paper[-]\n\nYou do love it when a plan comes together, don't you? Some traders might be interested buying this.",,,,
cigarette,items,Item,KgNone,"Cigarette",,,,
cigaretteDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Paper[-]\n\nIve got bigger things to worry about than Cancer. Some traders might be interested buying this.",,,,
clothHat,items,Item,KgNone,"Cloth Helmet",,,,
clothHatDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Iron[-]\n\nCloth provides some protection against the weather and a little protection against other damage types.",,,,
clothJacket,items,Item,KgNone,"Cloth Chest Armor",,,,
clothJacketDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Iron[-]\n\nCloth provides some protection against the weather and a little protection against other damage types.",,,,
clothPants,items,Item,KgNone,"Cloth Leg Armor",,,,
clothPantsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Iron[-]\n\nCloth provides some protection against the weather and a little protection against other damage types.",,,,
clothBoots,items,Item,KgNone,"Cloth Boots",,,,
clothBootsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Iron[-]\n\nCloth provides some protection against the weather and a little protection against other damage types.",,,,
clothGloves,items,Item,KgNone,"Cloth Gloves",,,,
clothGlovesDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Iron[-]\n\nCloth provides some protection against the weather and a little protection against other damage types.",,,,
clothClothesGroupDesc,items,Item,KgNone,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Iron[-]\n\nCloth provides some protection against the weather and a little protection against other damage types.",,,,
cowboyBootsBlack,items,Item,KgNone,"Black Cowboy Boots",,,,
cowboyBootsBlackDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
cowboyBootsBrown,items,Item,KgNone,"Cowboy Boots",,,,
cowboyBootsBrownDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
cowboyHat,items,Item,KgNone,"Cowboy Hat",,,,
cowboyHatDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
cowboyHatGroupDesc,items,Item,KgNone,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Leather[-]\n\nLook cool and keep your cool in hotter environments when you wear this stylish ten gallon hat.",,,,
denimJacket,items,Item,KgNone,"Denim Jacket",,,,
denimJacketDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
denimPants,items,Item,KgNone,"Blue Denim Pants",,,,
denimPantsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
denimShortsPants,items,Item,KgNone,"White Shorts",,,,
denimShortsPantsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
denimShortsPantsBlack,items,Item,KgNone,"Black Shorts",,,,
denimShortsPantsBlackDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
denimShortsPantsBlue,items,Item,KgNone,"Blue Shorts",,,,
denimShortsPantsBlueDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
denimShortsPantsBrown,items,Item,KgNone,"Brown Shorts",,,,
denimShortsPantsBrownDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
denimShortsPantsGreen,items,Item,KgNone,"Green Shorts",,,,
denimShortsPantsGreenDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
denimShortsPantsRed,items,Item,KgNone,"Red Shorts",,,,
denimShortsPantsRedDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
denimClothesGroupDesc,items,Item,KgNone,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nBe really comfortable & get a little protection against the weather and other damage types in this fine denim apparel.",,,,
dressShoesBlack,items,Item,KgNone,"Black Dress Shoes",,,,
dressShoesBlackDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
eyeglasses,items,Item,KgNone,"Strong Glasses",,,,
eyeglassesDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\n",,,,
facialPiercings,items,Item,KgNone,"Facial Piercings",,,,
facialPiercingsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nThe risk of infection is not enough of a challenge? Try putting piercings of questionable origin into your skin!",,,,
flannelShirtBlack,items,Item,KgNone,"Black Flannel Shirt",,,,
flannelShirtBlackDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
flannelShirtBlue,items,Item,KgNone,"Blue Flannel Shirt",,,,
flannelShirtBlueDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
flannelShirtBrown,items,Item,KgNone,"Brown Flannel Shirt",,,,
flannelShirtBrownDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
flannelShirtGreen,items,Item,KgNone,"Green Flannel Shirt",,,,
flannelShirtGreenDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
flannelShirtRed,items,Item,KgNone,"Red Flannel Shirt",,,,
flannelShirtRedDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
flannelShirtWhite,items,Item,KgNone,"White Flannel Shirt",,,,
flannelShirtWhiteDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
footballHelmet,items,Item,KgNone,"Football Helmet",,,,
footballHelmetDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Iron[-]\n\nGet great concussive & puncture defense & you can cheer for your favorite team as if organized football still existed.",,,,
footballHelmetZU,items,Item,KgNone,"ZU Football Helmet",,,,
footballHelmetZUDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\n",,,,
gasMask,items,Item,KgNone,"Gasmask",,,,
gasMaskDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [FDFF4F](Very Rare)[-]\nMaterial: [decea3]Iron[-]\n\nA gas mask provides a little face protection.",,,,
goggles,items,Item,KgNone,"Goggles",,,,
gogglesDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Iron[-]\n\nGoggles provide a little face protection.",,,,
gothBootsBlack,items,Item,KgNone,"Black Goth Boots",,,,
gothBootsBlackDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
gothicPants,items,Item,KgNone,"Black Goth Pants",,,,
gothicPantsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
hazmatBoots,items,Item,KgNone,"Hazmat Boots",,,,
hazmatBootsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Military Fiber[-]\n\n",,,,
hazmatGloves,items,Item,KgNone,"Hazmat Gloves",,,,
hazmatGlovesDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Military Fiber[-]\n\n",,,,
hazmatMask,items,Item,KgNone,"Hazmat Mask",,,,
hazmatMaskDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Military Fiber[-]\n\n",,,,
hazmatPants,items,Item,KgNone,"Hazmat Pants",,,,
hazmatPantsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Military Fiber[-]\n\n",,,,
hazmatClothesGroupDesc,items,Item,KgNone,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Military Fiber[-]\n\nHazmat gear, emblazoned with the letters C.D.C",,,,
heavyBanditBoots,items,Item,KgNone,"Heavy Bandit Boots",,,,
heavyBanditBootsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Iron[-]\n\n",,,,
heavyBanditChestArmor,items,Item,KgNone,"Heavy Bandit Chest Armor",,,,
heavyBanditChestArmorDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Iron[-]\n\n",,,,
heavyBanditGasmask,items,Item,KgNone,"Heavy Bandit Gasmask",,,,
heavyBanditGasmaskDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [FDFF4F](Very Rare)[-]\nMaterial: [decea3]Iron[-]\n\n",,,,
heavyBanditGloves,items,Item,KgNone,"Heavy Bandit Gloves",,,,
heavyBanditGlovesDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Iron[-]\n\n",,,,
heavyBanditLegArmor,items,Item,KgNone,"Heavy Bandit Leg Armor",,,,
heavyBanditLegArmorDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Iron[-]\n\n",,,,
hoodedSweatshirtBlack,items,Item,KgNone,"Black Hooded Sweatshirt",,,,
hoodedSweatshirtBlackDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
hoodedSweatshirtBlue,items,Item,KgNone,"Blue Hooded Sweatshirt",,,,
hoodedSweatshirtBlueDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
hoodedSweatshirtBrown,items,Item,KgNone,"Brown Hooded Sweatshirt",,,,
hoodedSweatshirtBrownDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
hoodedSweatshirtGreen,items,Item,KgNone,"Green Hooded Sweatshirt",,,,
hoodedSweatshirtGreenDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
hoodedSweatshirtRed,items,Item,KgNone,"Red Hooded Sweatshirt",,,,
hoodedSweatshirtRedDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
hoodedSweatshirtWhite,items,Item,KgNone,"White Hooded Sweatshirt",,,,
hoodedSweatshirtWhiteDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
ironHelmet,items,Item,KgNone,"Iron Helmet",,,,
ironHelmetDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nCrafted: [decea3]Workbench[-]\nMaterial: [decea3]Iron[-]\n\nIron Armor provides good protection against concussive and puncture damage, but no cold weather protection.",,,,
ironChestArmor,items,Item,KgNone,"Iron Chest Armor",,,,
ironChestArmorDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nCrafted: [decea3]Workbench[-]\nMaterial: [decea3]Iron[-]\n\nIron Armor provides good protection against concussive and puncture damage, but no cold weather protection.",,,,
ironLegArmor,items,Item,KgNone,"Iron Leg Armor",,,,
ironLegArmorDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nCrafted: [decea3]Workbench[-]\nMaterial: [decea3]Iron[-]\n\nIron Armor provides good protection against concussive and puncture damage, but no cold weather protection.",,,,
ironBoots,items,Item,KgNone,"Iron Boots",,,,
ironBootsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nCrafted: [decea3]Workbench[-]\nMaterial: [decea3]Iron[-]\n\nIron Armor provides good protection against concussive and puncture damage, but no cold weather protection.",,,,
ironGloves,items,Item,KgNone,"Iron Gloves",,,,
ironGlovesDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nCrafted: [decea3]Workbench[-]\nMaterial: [decea3]Iron[-]\n\nIron Armor provides good protection against concussive and puncture damage, but no cold weather protection.",,,,
ironClothesGroupDesc,items,Item,KgNone,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nCrafted: [decea3]Workbench[-]\nMaterial: [decea3]Iron[-]\n\nIron clothing provides great protection against concussive and puncture damage but no cold weather protection.",,,,
jacketBlack,items,Item,KgNone,"Black Jacket",,,,
jacketBlackDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
jacketLetter,items,Item,KgNone,"College Jacket",,,,
jacketLetterDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
jacketWhite,items,Item,KgNone,"White Jacket",,,,
jacketWhiteDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n",,,,
jacketGroupDesc,items,Item,KgNone,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nA jacket will keep you warm in cold environments.",,,,
kevlarBoots,items,Item,KgNone,"Kevlar Boots",,,,
kevlarBootsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Military Fiber[-]\n\n",,,,
kevlarGloves,items,Item,KgNone,"Kevlar Gloves",,,,
kevlarGlovesDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Military Fiber[-]\n\n",,,,
kevlarHelmet,items,Item,KgNone,"Kevlar Helmet",,,,
kevlarHelmetDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Military Fiber[-]\n\n",,,,
kevlarLegArmor,items,Item,KgNone,"Kevlar Leg Armor",,,,
kevlarLegArmorDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Military Fiber[-]\n\n",,,,
kevlarVest,items,Item,KgNone,"Kevlar Vest",,,,
kevlarVestDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Military Fiber[-]\n\n",,,,
kevlarArmorGroupDesc,items,Item,KgNone,"Type: [decea3]Armor/Clothing[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Military Fiber[-]\n\nKevlar armor,bullet proof not bite proof.",,,,
leatherBoots,items,Item,KgNone,"Leather Boots",,,,
leatherBootsDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nreq.bp.schematicMaterial: [decea3]Leather[-]\n\n",,,,
leatherDuster,items,Item,KgNone,"Leather Duster",,,,
leatherDusterDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
leatherDusterBlack,items,Item,KgNone,"Black Leather Duster",,,,
leatherDusterBlackDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
leatherGloves,items,Item,KgNone,"Leather Gloves",,,,
leatherGlovesDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nRequires: [decea3]Schematic[-]\nMaterial: [decea3]Leather[-]\n\n",,,,
